iter	Passed	Remaining
0	2	228
1	3	165
2	4	139
3	5	130
4	6	122
5	7	116
6	8	112
7	9	107
8	10	104
9	11	101
10	12	98
11	13	96
12	14	94
13	15	93
14	16	92
15	17	90
16	17	87
17	19	87
18	20	85
19	21	84
20	22	83
21	23	82
22	24	81
23	25	79
24	25	77
25	26	76
26	27	75
27	28	74
28	29	73
29	30	72
30	31	71
31	33	70
32	34	69
33	35	68
34	36	66
35	37	65
36	38	65
37	39	64
38	40	62
39	41	61
40	42	60
41	42	58
42	43	57
43	44	56
44	44	54
45	46	54
46	47	53
47	48	52
48	49	51
49	50	50
50	50	48
51	52	48
52	52	46
53	53	45
54	54	44
55	55	43
56	56	42
57	56	41
58	57	40
59	58	39
60	59	38
61	60	37
62	61	36
63	62	35
64	63	34
65	64	33
66	65	32
67	66	31
68	67	30
69	68	29
70	69	28
71	70	27
72	71	26
73	72	25
74	73	24
75	74	23
76	75	22
77	76	21
78	77	20
79	78	19
80	79	18
81	80	17
82	81	16
83	82	15
84	83	14
85	84	13
86	85	12
87	86	11
88	87	10
89	88	9
90	89	8
91	90	7
92	91	6
93	92	5
94	92	4
95	93	3
96	94	2
97	95	1
98	96	0
99	97	0
